"date","GDP","CNP16OV","GDPCTPI","CPIAUCSL","DFF"
"1959-03-31",511.1,114714.0,17.189,28.993,2.58
"1959-06-30",524.2,115139.0,17.237,29.043,3.08
"1959-09-30",525.2,115551.0,17.308,29.193,3.57
"1959-12-31",529.3,115918.0,17.375,29.37,3.99
"1960-03-31",543.3,116708.0,17.41,29.397,3.93
"1960-06-30",542.7,117037.0,17.473,29.573,3.7
"1960-09-30",546.0,117411.0,17.552,29.59,2.94
"1960-12-31",541.1,117824.0,17.631,29.78,2.3
"1961-03-31",545.9,118254.0,17.651,29.84,1.99
"1961-06-30",557.4,118636.0,17.688,29.83,1.73
"1961-09-30",568.2,119001.0,17.727,29.947,1.68
"1961-12-31",581.6,119190.0,17.769,29.99,2.4
"1962-03-31",595.2,119379.0,17.859,30.107,2.46
"1962-06-30",602.6,119819.0,17.908,30.22,2.61
"1962-09-30",609.6,120368.0,17.95,30.307,2.85
"1962-12-31",613.1,121046.0,17.992,30.38,2.92
"1963-03-31",622.7,121640.0,18.08,30.477,2.97
"1963-06-30",631.8,122167.0,18.094,30.533,2.96
"1963-09-30",645.0,122670.0,18.112,30.72,3.33
"1963-12-31",654.8,123189.0,18.231,30.803,3.45
"1964-03-31",671.1,123708.0,18.3,30.93,3.46
"1964-06-30",680.8,124203.0,18.355,30.98,3.49
"1964-09-30",692.8,124739.0,18.447,31.05,3.46
"1964-12-31",698.4,125289.0,18.526,31.193,3.58
"1965-03-31",719.2,125814.0,18.606,31.29,3.98
"1965-06-30",732.4,126325.0,18.692,31.49,4.08
"1965-09-30",750.2,126745.0,18.778,31.583,4.08
"1965-12-31",773.1,127169.0,18.9,31.75,4.17
"1966-03-31",797.3,127511.0,19.016,32.047,4.56
"1966-06-30",807.2,127869.0,19.189,32.337,4.91
"1966-09-30",820.8,128234.0,19.359,32.617,5.41
"1966-12-31",834.9,128617.0,19.518,32.883,5.56
"1967-03-31",846.0,129044.0,19.6,32.967,4.82
"1967-06-30",851.1,129527.0,19.717,33.167,3.99
"1967-09-30",866.6,130166.0,19.894,33.5,3.89
"1967-12-31",883.2,130757.0,20.112,33.867,4.17
"1968-03-31",911.1,131267.0,20.332,34.2,4.79
"1968-06-30",936.3,131712.0,20.559,34.533,5.98
"1968-09-30",952.3,132250.0,20.757,35.0,5.95
"1968-12-31",970.1,132880.0,21.047,35.433,5.92
"1969-03-31",995.4,133476.0,21.259,35.867,6.57
"1969-06-30",1011.4,134020.0,21.54,36.433,8.33
"1969-09-30",1032.0,134595.0,21.847,36.933,8.98
"1969-12-31",1040.7,135247.0,22.12,37.5,8.94
"1970-03-31",1053.5,135950.0,22.425,38.1,8.56
"1970-06-30",1070.1,136677.0,22.749,38.633,7.88
"1970-09-30",1088.5,137456.0,22.935,39.033,6.71
"1970-12-31",1091.5,138260.0,23.234,39.6,5.57
"1971-03-31",1137.8,139034.0,23.589,39.933,3.86
"1971-06-30",1159.4,139827.0,23.905,40.3,4.57
"1971-09-30",1180.3,140603.0,24.146,40.7,5.48
"1971-12-31",1193.6,141402.0,24.345,41.0,4.75
"1972-03-31",1233.8,143005.0,24.742,41.333,3.55
"1972-06-30",1270.1,143759.0,24.891,41.6,4.3
"1972-09-30",1293.8,144523.0,25.111,41.933,4.74
"1972-12-31",1332.0,145215.0,25.394,42.367,5.15
"1973-03-31",1380.7,145964.0,25.72,43.033,6.54
"1973-06-30",1417.6,146720.0,26.142,43.933,7.82
"1973-09-30",1436.8,147478.0,26.631,44.8,10.56
"1973-12-31",1479.1,148226.0,27.092,45.933,10.0
"1974-03-31",1494.7,148987.0,27.644,47.3,9.33
"1974-06-30",1534.2,149747.0,28.262,48.567,11.25
"1974-09-30",1563.4,150498.0,29.124,49.933,12.1
"1974-12-31",1603.0,151253.0,30.008,51.467,9.34
"1975-03-31",1619.6,151987.0,30.686,52.567,6.31
"1975-06-30",1656.4,152708.0,31.134,53.2,5.42
"1975-09-30",1713.8,153579.0,31.688,54.267,6.16
"1975-12-31",1765.9,154336.0,32.216,55.267,5.41
"1976-03-31",1824.5,155075.0,32.563,55.9,4.83
"1976-06-30",1856.9,155774.0,32.889,56.4,5.2
"1976-09-30",1890.5,156527.0,33.309,57.3,5.28
"1976-12-31",1938.4,157222.0,33.868,58.133,4.87
"1977-03-31",1992.5,157911.0,34.411,59.2,4.66
"1977-06-30",2060.2,158652.0,34.952,60.233,5.16
"1977-09-30",2122.4,159430.0,35.437,61.067,5.82
"1977-12-31",2168.7,160140.0,36.034,61.967,6.51
"1978-03-31",2208.7,160829.0,36.637,63.033,6.76
"1978-06-30",2336.6,161525.0,37.338,64.467,7.28
"1978-09-30",2398.9,162265.0,37.987,65.967,8.09
"1978-12-31",2482.2,163024.0,38.759,67.5,9.58
"1979-03-31",2531.6,163756.0,39.47,69.2,10.07
"1979-06-30",2595.9,164447.0,40.411,71.4,10.18
"1979-09-30",2670.4,165200.0,41.235,73.7,10.94
"1979-12-31",2730.7,166055.0,42.044,76.033,13.58
"1980-03-31",2796.5,166762.0,42.955,79.033,15.07
"1980-06-30",2799.9,167416.0,43.895,81.7,12.67
"1980-09-30",2860.0,168111.0,44.903,83.233,9.82
"1980-12-31",2993.5,168694.0,46.165,85.567,15.85
"1981-03-31",3131.8,169279.0,47.358,87.933,16.6
"1981-06-30",3167.3,169837.0,48.197,89.767,17.79
"1981-09-30",3261.2,170413.0,49.096,92.267,17.59
"1981-12-31",3283.5,170990.0,49.98,93.767,13.59
"1982-03-31",3273.8,171497.0,50.652,94.6,14.21
"1982-06-30",3331.3,172020.0,51.278,95.967,14.51
"1982-09-30",3367.1,172522.0,52.001,97.633,11.01
"1982-12-31",3407.8,173046.0,52.566,97.933,9.28
"1983-03-31",3480.3,173505.0,53.013,98.0,8.66
"1983-06-30",3583.8,173957.0,53.371,99.133,8.8
"1983-09-30",3692.3,174449.0,53.929,100.1,9.46
"1983-12-31",3796.1,174950.0,54.32,101.1,9.43
"1984-03-31",3912.8,175679.0,54.885,102.533,9.69
"1984-06-30",4015.0,176125.0,55.37,103.5,10.55
"1984-09-30",4087.4,176595.0,55.827,104.4,11.39
"1984-12-31",4147.6,177132.0,56.174,105.3,9.26
"1985-03-31",4237.0,177522.0,56.839,106.267,8.48
"1985-06-30",4302.3,177946.0,57.161,107.233,7.92
"1985-09-30",4394.6,178413.0,57.528,107.9,7.9
"1985-12-31",4453.1,178941.0,57.837,109.0,8.1
"1986-03-31",4516.3,179825.0,58.118,109.567,7.83
"1986-06-30",4555.2,180321.0,58.334,109.033,6.92
"1986-09-30",4619.6,180836.0,58.606,109.7,6.21
"1986-12-31",4669.4,181365.0,58.96,110.467,6.27
"1987-03-31",4736.2,182001.0,59.306,111.8,6.22
"1987-06-30",4821.5,182527.0,59.694,113.067,6.65
"1987-09-30",4900.5,183016.0,60.135,114.267,6.84
"1987-12-31",5022.7,183467.0,60.605,115.333,6.92
"1988-03-31",5090.6,183967.0,61.075,116.233,6.67
"1988-06-30",5207.7,184389.0,61.681,117.567,7.15
"1988-09-30",5299.5,184840.0,62.426,119.0,7.98
"1988-12-31",5412.7,185253.0,62.961,120.3,8.47
"1989-03-31",5527.4,185773.0,63.602,121.667,9.45
"1989-06-30",5628.4,186178.0,64.271,123.633,9.73
"1989-09-30",5711.6,186602.0,64.744,124.6,9.08
"1989-12-31",5763.4,187018.0,65.174,125.867,8.61
"1990-03-31",5890.8,188520.0,65.901,128.033,8.25
"1990-06-30",5974.7,188916.0,66.58,129.3,8.24
"1990-09-30",6029.5,189353.0,67.18,131.533,8.16
"1990-12-31",6023.3,189866.0,67.702,133.767,7.74
"1991-03-31",6054.9,190272.0,68.373,134.767,6.43
"1991-06-30",6143.6,190656.0,68.832,135.567,5.86
"1991-09-30",6218.4,191121.0,69.328,136.6,5.65
"1991-12-31",6279.3,191651.0,69.694,137.733,4.82
"1992-03-31",6380.8,192075.0,70.014,138.667,4.02
"1992-06-30",6492.3,192507.0,70.457,139.733,3.77
"1992-09-30",6586.5,193024.0,70.785,140.8,3.26
"1992-12-31",6697.6,193616.0,71.275,142.033,3.03
"1993-03-31",6748.2,194106.0,71.704,143.067,3.04
"1993-06-30",6829.6,194555.0,72.136,144.1,3.0
"1993-09-30",6904.2,195068.0,72.504,144.767,3.06
"1993-12-31",7032.8,195621.0,72.913,145.967,2.99
"1994-03-31",7136.3,196085.0,73.291,146.7,3.21
"1994-06-30",7269.8,196522.0,73.652,147.533,3.94
"1994-09-30",7352.3,197050.0,74.021,148.9,4.49
"1994-12-31",7476.7,197601.0,74.44,149.767,5.17
"1995-03-31",7545.3,197882.0,74.89,150.867,5.8
"1995-06-30",7604.9,198296.0,75.226,152.1,6.02
"1995-09-30",7706.5,198807.0,75.548,152.867,5.8
"1995-12-31",7799.5,199352.0,75.908,153.7,5.72
"1996-03-31",7893.1,199776.0,76.296,155.067,5.37
"1996-06-30",8061.5,200279.0,76.584,156.4,5.24
"1996-09-30",8159.0,200850.0,76.932,157.3,5.31
"1996-12-31",8287.1,201457.0,77.257,158.667,5.28
"1997-03-31",8402.1,202396.0,77.637,159.633,5.28
"1997-06-30",8551.9,202835.0,77.998,160.0,5.52
"1997-09-30",8691.8,203367.0,78.225,160.8,5.53
"1997-12-31",8788.3,203935.0,78.493,161.667,5.51
"1998-03-31",8889.7,204395.0,78.606,162.0,5.52
"1998-06-30",8994.7,204905.0,78.786,162.533,5.5
"1998-09-30",9146.5,205483.0,79.071,163.367,5.53
"1998-12-31",9325.7,206098.0,79.278,164.133,4.86
"1999-03-31",9447.1,206876.0,79.575,164.733,4.73
"1999-06-30",9557.0,207432.0,79.908,165.967,4.75
"1999-09-30",9712.3,208044.0,80.191,167.2,5.1
"1999-12-31",9926.1,208660.0,80.585,168.433,5.3
"2000-03-31",10031.0,211586.0,81.184,170.1,5.68
"2000-06-30",10278.3,212242.0,81.631,171.433,6.27
"2000-09-30",10357.4,212919.0,82.154,173.0,6.52
"2000-12-31",10472.3,213560.0,82.591,174.233,6.47
"2001-03-31",10508.1,214101.0,83.117,175.9,5.6
"2001-06-30",10638.4,214736.0,83.699,177.133,4.33
"2001-09-30",10639.5,215422.0,83.97,177.633,3.5
"2001-12-31",10701.3,216112.0,84.233,177.5,2.13
"2002-03-31",10834.4,216664.0,84.48,178.067,1.73
"2002-06-30",10934.8,217204.0,84.829,179.467,1.75
"2002-09-30",11037.1,217868.0,85.204,180.433,1.74
"2002-12-31",11103.8,218543.0,85.649,181.5,1.44
"2003-03-31",11230.1,220109.0,86.184,183.367,1.25
"2003-06-30",11370.7,220774.0,86.463,183.067,1.25
"2003-09-30",11625.1,221513.0,86.932,184.433,1.02
"2003-12-31",11816.8,222276.0,87.363,185.133,1.0
"2004-03-31",11988.4,222356.0,88.115,186.7,1.0
"2004-06-30",12181.4,222973.0,88.856,188.167,1.01
"2004-09-30",12367.7,223680.0,89.438,189.367,1.43
"2004-12-31",12562.2,224418.0,90.063,191.4,1.95
"2005-03-31",12813.7,225038.0,90.894,192.367,2.47
"2005-06-30",12974.1,225674.0,91.549,193.667,2.94
"2005-09-30",13205.4,226422.0,92.399,196.6,3.46
"2005-12-31",13381.6,227196.0,93.098,198.433,3.98
"2006-03-31",13648.9,227764.0,93.816,199.467,4.45
"2006-06-30",13799.8,228433.0,94.589,201.267,4.91
"2006-09-30",13908.5,229166.0,95.25,203.167,5.25
"2006-12-31",14066.4,229896.0,95.591,202.333,5.24
"2007-03-31",14233.2,230839.0,96.659,204.317,5.25
"2007-06-30",14422.3,231482.0,97.216,206.631,5.25
"2007-09-30",14569.7,232210.0,97.538,207.939,5.07
"2007-12-31",14685.3,232937.0,97.945,210.49,4.5
"2008-03-31",14668.4,232807.0,98.506,212.77,3.18
"2008-06-30",14813.0,233410.0,98.941,215.538,2.08
"2008-09-30",14843.0,234110.0,99.619,218.861,1.94
"2008-12-31",14549.9,234825.0,99.805,213.849,0.51
"2009-03-31",14383.9,234913.0,100.045,212.378,0.18
"2009-06-30",14340.4,235459.0,99.889,213.507,0.18
"2009-09-30",14384.1,236093.0,99.882,215.344,0.15
"2009-12-31",14566.5,236739.0,100.183,217.03,0.12
"2010-03-31",14681.1,236996.0,100.517,217.374,0.13
"2010-06-30",14888.6,237506.0,100.981,217.297,0.19
"2010-09-30",15057.7,238104.0,101.444,217.934,0.19
"2010-12-31",15230.2,238711.0,101.963,219.699,0.19
"2011-03-31",15238.4,238852.0,102.409,222.044,0.15
"2011-06-30",15460.9,239316.0,103.17,224.568,0.09
"2011-09-30",15587.1,239871.0,103.77,226.033,0.08
"2011-12-31",15785.3,240431.0,103.913,227.047,0.07
"2012-03-31",15973.9,242436.0,104.466,228.326,0.1
"2012-06-30",16121.9,242968.0,104.93,228.808,0.15
"2012-09-30",16227.9,243564.0,105.547,229.841,0.14
"2012-12-31",16297.3,244169.0,105.937,231.369,0.16
"2013-03-31",16475.4,244829.0,106.318,232.299,0.14
"2013-06-30",16541.4,245363.0,106.565,232.028,0.12
"2013-09-30",16749.3,245961.0,107.112,233.281,0.09
"2013-12-31",16999.9,246564.0,107.674,234.187,0.09
"2014-03-31",17025.2,247086.0,108.14,235.678,0.07
"2014-06-30",17285.6,247625.0,108.714,236.777,0.09
"2014-09-30",17569.4,248233.0,109.178,237.389,0.09
"2014-12-31",17692.2,248843.0,109.321,236.971,0.1
"2015-03-31",17783.6,249901.0,109.307,235.464,0.11
"2015-06-30",17998.3,250461.0,109.922,236.837,0.13
"2015-09-30",18141.9,251099.0,110.268,237.718,0.13
"2015-12-31",18222.8,251741.0,110.498,237.93,0.16
"2016-03-31",18281.6,252581.0,110.635,237.997,0.36
"2016-06-30",18450.1,253180.0,111.268,239.371,0.37
"2016-09-30",18675.3,253855.0,111.662,240.431,0.39
"2016-12-31",18869.4,254534.0,112.238,242.238,0.45
"2017-03-31",19027.6,254247.0,112.859,244.122,0.7
